Rainfall - (MM), Year, Statistics, Country, ISO3
58.5, 1901, Jan Average, South Africa, ZAF
85.8, 1901, Feb Average, South Africa, ZAF
79.1, 1901, Mar Average, South Africa, ZAF
41.1, 1901, Apr Average, South Africa, ZAF
15.0, 1901, May Average, South Africa, ZAF
12.2, 1901, Jun Average, South Africa, ZAF
9.6, 1901, Jul Average, South Africa, ZAF
15.0, 1901, Aug Average, South Africa, ZAF
52.1, 1901, Sep Average, South Africa, ZAF
61.2, 1901, Oct Average, South Africa, ZAF
63.3, 1901, Nov Average, South Africa, ZAF
54.4, 1901, Dec Average, South Africa, ZAF
57.1, 1902, Jan Average, South Africa, ZAF
53.8, 1902, Feb Average, South Africa, ZAF
71.0, 1902, Mar Average, South Africa, ZAF
31.0, 1902, Apr Average, South Africa, ZAF
8.1, 1902, May Average, South Africa, ZAF
19.3, 1902, Jun Average, South Africa, ZAF
10.2, 1902, Jul Average, South Africa, ZAF
18.0, 1902, Aug Average, South Africa, ZAF
45.8, 1902, Sep Average, South Africa, ZAF
32.2, 1902, Oct Average, South Africa, ZAF
33.6, 1902, Nov Average, South Africa, ZAF
52.3, 1902, Dec Average, South Africa, ZAF
40.2, 1903, Jan Average, South Africa, ZAF
43.1, 1903, Feb Average, South Africa, ZAF
26.4, 1903, Mar Average, South Africa, ZAF
41.3, 1903, Apr Average, South Africa, ZAF
20.0, 1903, May Average, South Africa, ZAF
15.2, 1903, Jun Average, South Africa, ZAF
7.6, 1903, Jul Average, South Africa, ZAF
10.8, 1903, Aug Average, South Africa, ZAF
7.6, 1903, Sep Average, South Africa, ZAF
30.6, 1903, Oct Average, South Africa, ZAF
63.0, 1903, Nov Average, South Africa, ZAF
44.0, 1903, Dec Average, South Africa, ZAF
96.3, 1904, Jan Average, South Africa, ZAF
77.6, 1904, Feb Average, South Africa, ZAF
72.8, 1904, Mar Average, South Africa, ZAF
21.4, 1904, Apr Average, South Africa, ZAF
11.4, 1904, May Average, South Africa, ZAF
12.6, 1904, Jun Average, South Africa, ZAF
7.7, 1904, Jul Average, South Africa, ZAF
10.7, 1904, Aug Average, South Africa, ZAF
16.5, 1904, Sep Average, South Africa, ZAF
35.1, 1904, Oct Average, South Africa, ZAF
41.0, 1904, Nov Average, South Africa, ZAF
40.6, 1904, Dec Average, South Africa, ZAF
54.4, 1905, Jan Average, South Africa, ZAF
63.7, 1905, Feb Average, South Africa, ZAF
60.0, 1905, Mar Average, South Africa, ZAF
30.6, 1905, Apr Average, South Africa, ZAF
25.1, 1905, May Average, South Africa, ZAF
16.0, 1905, Jun Average, South Africa, ZAF
3.8, 1905, Jul Average, South Africa, ZAF
13.6, 1905, Aug Average, South Africa, ZAF
36.0, 1905, Sep Average, South Africa, ZAF
29.4, 1905, Oct Average, South Africa, ZAF
47.4, 1905, Nov Average, South Africa, ZAF
61.1, 1905, Dec Average, South Africa, ZAF
53.6, 1906, Jan Average, South Africa, ZAF
62.1, 1906, Feb Average, South Africa, ZAF
56.7, 1906, Mar Average, South Africa, ZAF
19.2, 1906, Apr Average, South Africa, ZAF
24.5, 1906, May Average, South Africa, ZAF
12.0, 1906, Jun Average, South Africa, ZAF
3.1, 1906, Jul Average, South Africa, ZAF
6.8, 1906, Aug Average, South Africa, ZAF
30.0, 1906, Sep Average, South Africa, ZAF
67.1, 1906, Oct Average, South Africa, ZAF
70.5, 1906, Nov Average, South Africa, ZAF
80.0, 1906, Dec Average, South Africa, ZAF
87.6, 1907, Jan Average, South Africa, ZAF
93.0, 1907, Feb Average, South Africa, ZAF
63.4, 1907, Mar Average, South Africa, ZAF
73.7, 1907, Apr Average, South Africa, ZAF
30.3, 1907, May Average, South Africa, ZAF
6.2, 1907, Jun Average, South Africa, ZAF
4.1, 1907, Jul Average, South Africa, ZAF
3.1, 1907, Aug Average, South Africa, ZAF
26.0, 1907, Sep Average, South Africa, ZAF
40.3, 1907, Oct Average, South Africa, ZAF
54.4, 1907, Nov Average, South Africa, ZAF
68.3, 1907, Dec Average, South Africa, ZAF
45.5, 1908, Jan Average, South Africa, ZAF
39.8, 1908, Feb Average, South Africa, ZAF
48.3, 1908, Mar Average, South Africa, ZAF
31.8, 1908, Apr Average, South Africa, ZAF
6.5, 1908, May Average, South Africa, ZAF
14.4, 1908, Jun Average, South Africa, ZAF
16.0, 1908, Jul Average, South Africa, ZAF
19.5, 1908, Aug Average, South Africa, ZAF
24.8, 1908, Sep Average, South Africa, ZAF
46.2, 1908, Oct Average, South Africa, ZAF
44.5, 1908, Nov Average, South Africa, ZAF
47.2, 1908, Dec Average, South Africa, ZAF
109.2, 1909, Jan Average, South Africa, ZAF
116.2, 1909, Feb Average, South Africa, ZAF
83.7, 1909, Mar Average, South Africa, ZAF
39.1, 1909, Apr Average, South Africa, ZAF
39.5, 1909, May Average, South Africa, ZAF
4.7, 1909, Jun Average, South Africa, ZAF
7.0, 1909, Jul Average, South Africa, ZAF
18.1, 1909, Aug Average, South Africa, ZAF
28.5, 1909, Sep Average, South Africa, ZAF
26.1, 1909, Oct Average, South Africa, ZAF
44.5, 1909, Nov Average, South Africa, ZAF
90.2, 1909, Dec Average, South Africa, ZAF
74.8, 1910, Jan Average, South Africa, ZAF
90.9, 1910, Feb Average, South Africa, ZAF
64.3, 1910, Mar Average, South Africa, ZAF
12.5, 1910, Apr Average, South Africa, ZAF
21.0, 1910, May Average, South Africa, ZAF
18.0, 1910, Jun Average, South Africa, ZAF
12.6, 1910, Jul Average, South Africa, ZAF
8.4, 1910, Aug Average, South Africa, ZAF
