Temperature - (Celsius), Year, Statistics, Country, ISO3
22.7, 1901, Jan Average, South Africa, ZAF
22.6, 1901, Feb Average, South Africa, ZAF
19.7, 1901, Mar Average, South Africa, ZAF
18.1, 1901, Apr Average, South Africa, ZAF
13.2, 1901, May Average, South Africa, ZAF
10.8, 1901, Jun Average, South Africa, ZAF
10.1, 1901, Jul Average, South Africa, ZAF
12.9, 1901, Aug Average, South Africa, ZAF
14.6, 1901, Sep Average, South Africa, ZAF
17.2, 1901, Oct Average, South Africa, ZAF
19.7, 1901, Nov Average, South Africa, ZAF
21.6, 1901, Dec Average, South Africa, ZAF
21.3, 1902, Jan Average, South Africa, ZAF
22.4, 1902, Feb Average, South Africa, ZAF
20.5, 1902, Mar Average, South Africa, ZAF
16.9, 1902, Apr Average, South Africa, ZAF
14.4, 1902, May Average, South Africa, ZAF
10.1, 1902, Jun Average, South Africa, ZAF
10.8, 1902, Jul Average, South Africa, ZAF
12.0, 1902, Aug Average, South Africa, ZAF
14.6, 1902, Sep Average, South Africa, ZAF
17.6, 1902, Oct Average, South Africa, ZAF
18.9, 1902, Nov Average, South Africa, ZAF
22.1, 1902, Dec Average, South Africa, ZAF
22.5, 1903, Jan Average, South Africa, ZAF
22.1, 1903, Feb Average, South Africa, ZAF
20.2, 1903, Mar Average, South Africa, ZAF
16.7, 1903, Apr Average, South Africa, ZAF
13.5, 1903, May Average, South Africa, ZAF
9.9, 1903, Jun Average, South Africa, ZAF
10.2, 1903, Jul Average, South Africa, ZAF
12.2, 1903, Aug Average, South Africa, ZAF
15.1, 1903, Sep Average, South Africa, ZAF
17.0, 1903, Oct Average, South Africa, ZAF
19.1, 1903, Nov Average, South Africa, ZAF
21.7, 1903, Dec Average, South Africa, ZAF
22.0, 1904, Jan Average, South Africa, ZAF
21.8, 1904, Feb Average, South Africa, ZAF
19.9, 1904, Mar Average, South Africa, ZAF
17.2, 1904, Apr Average, South Africa, ZAF
13.6, 1904, May Average, South Africa, ZAF
10.9, 1904, Jun Average, South Africa, ZAF
10.9, 1904, Jul Average, South Africa, ZAF
12.2, 1904, Aug Average, South Africa, ZAF
14.7, 1904, Sep Average, South Africa, ZAF
17.4, 1904, Oct Average, South Africa, ZAF
19.8, 1904, Nov Average, South Africa, ZAF
20.5, 1904, Dec Average, South Africa, ZAF
22.5, 1905, Jan Average, South Africa, ZAF
21.7, 1905, Feb Average, South Africa, ZAF
19.8, 1905, Mar Average, South Africa, ZAF
17.8, 1905, Apr Average, South Africa, ZAF
13.2, 1905, May Average, South Africa, ZAF
10.0, 1905, Jun Average, South Africa, ZAF
11.1, 1905, Jul Average, South Africa, ZAF
11.4, 1905, Aug Average, South Africa, ZAF
15.3, 1905, Sep Average, South Africa, ZAF
18.1, 1905, Oct Average, South Africa, ZAF
19.6, 1905, Nov Average, South Africa, ZAF
21.8, 1905, Dec Average, South Africa, ZAF
22.9, 1906, Jan Average, South Africa, ZAF
21.9, 1906, Feb Average, South Africa, ZAF
20.2, 1906, Mar Average, South Africa, ZAF
16.5, 1906, Apr Average, South Africa, ZAF
13.7, 1906, May Average, South Africa, ZAF
11.1, 1906, Jun Average, South Africa, ZAF
9.7, 1906, Jul Average, South Africa, ZAF
11.1, 1906, Aug Average, South Africa, ZAF
14.8, 1906, Sep Average, South Africa, ZAF
16.7, 1906, Oct Average, South Africa, ZAF
19.5, 1906, Nov Average, South Africa, ZAF
20.9, 1906, Dec Average, South Africa, ZAF
21.8, 1907, Jan Average, South Africa, ZAF
21.8, 1907, Feb Average, South Africa, ZAF
20.7, 1907, Mar Average, South Africa, ZAF
16.5, 1907, Apr Average, South Africa, ZAF
12.5, 1907, May Average, South Africa, ZAF
10.2, 1907, Jun Average, South Africa, ZAF
10.2, 1907, Jul Average, South Africa, ZAF
12.3, 1907, Aug Average, South Africa, ZAF
15.2, 1907, Sep Average, South Africa, ZAF
16.8, 1907, Oct Average, South Africa, ZAF
18.8, 1907, Nov Average, South Africa, ZAF
20.7, 1907, Dec Average, South Africa, ZAF
21.7, 1908, Jan Average, South Africa, ZAF
