"","year","Charadriidae.Charadrius","Charadriidae.Vanellus","Haematopodidae.Haematopus","Recurvirostridae.Himantopus","Recurvirostridae.Recurvirostra","Scolopacidae.Gallinago","Scolopacidae.Numenius","Scolopacidae.Tringa","Scolopacidae.Actitis","Scolopacidae.Limosa","Scolopacidae.Philomachus","Scolopacidae.Xenus","Anatidae.Anas","Ardeidae.Egretta","Laridae.Larus","Threskiornithidae.Threskiornis","Accipitridae.Circus","Anatidae.Alopochen","Threskiornithidae.Platalea","Anatidae.Tadorna","Ardeidae.Ardea","Ardeidae.Bubulcus","Cerylidae.Ceryle","Ciconiidae.Ciconia","Laridae.Chlidonias","Motacillidae.Motacilla","Pelecanidae.Pelecanus","Phalacrocoracidae.Phalacrocorax","Rallidae.Fulica","Alcedinidae.Alcedo","Dacelonidae.Megaceryle","Rallidae.Rallus","Anatidae.Plectropterus","Podicipedidae.Tachybaptus","Rallidae.Sarothrura","Accipitridae.Haliaeetus","Ardeidae.Nycticorax","Accipitridae.Pandion","Podicipedidae.Podiceps","Anatidae.Netta","Anatidae.Oxyura","Ardeidae.Ardeola","Ciconiidae.Mycteria","Dendrocygnidae.Dendrocygna","Dendrocygnidae.Thalassornis","Jacanidae.Actophilornis","Rallidae.Gallinula","Rallidae.Porphyrio","Scopidae.Scopus","Threskiornithidae.Plegadis","mean","median"
"1",1975,237,38,43,47,23,1,73,353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.9146078284336,33.6623493403149
"2",1976,92.5,9,54.5,17.5,28,NA,233.25,145.666666666667,2,20,8,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.730661643231,33.1505911810849
"3",1977,108.555555555556,22.5,120.5,30.5,43,2,210.25,204.666666666667,2,109,9,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.3118618317059,32.6373754522108
"4",1978,176.375,33,50.5,11,158,NA,162.5,126,2,303,6,20,14.5,3,27,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.6384455309072,32.1180994072782
"5",1979,125.545454545455,16,38,50,169,2,129,104.25,1,86.5,41,9,7.5,2,10,46,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.6906498778839,31.5881602998727
"6",1980,95.3,20.3333333333333,14.5,56.5,213,19,134.25,104.25,NA,262.5,6,23.5,43,44.5,391,226,1,8,12.5,2,6.33333333333333,5.5,4,1,1,28,14,220.166666666667,139.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4487120096849,31.0429553835796
"7",1981,132.4,27.6666666666667,71.5,72.5,98,2.5,206.25,136.5,1,141.5,2,64.5,41.2,59.5,719.75,219.5,1,17,37.5,8.5,10.5,6,2.5,2,NA,99,5,117.285714285714,52,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.8814095477699,30.4776819477373
"8",1982,118.5,26,43.5,77,131.5,3,219.5,151.75,NA,112,79,134.5,36,31.3333333333333,523.4,330,1.5,15,16,4,8.6,13.5,3.5,1,NA,96.5,19,67.2857142857143,81,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9983273472718,29.8963396812057
"9",1983,82.4545454545455,25,14,57,104,4,105.75,131.6,NA,57,45,77,31.1666666666667,52,448.5,242.5,2.66666666666667,15.5,42,10,7.66666666666667,11,8,1,1,143,65,26.4,107,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.840913395749,29.3075294368529
"10",1984,141.583333333333,25.6666666666667,12.5,54,111,NA,279.666666666667,316.666666666667,NA,74.5,14,253,30,46,383,319,2,15.5,74,3,6.8,6,4,2,NA,108.5,4,31.1111111111111,21,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4506156807602,28.7198520675468
"11",1985,131.818181818182,40.3333333333333,9,51,93.5,4,147.75,143.75,1,296,23,5.5,30.1666666666667,86,511.5,357,3,14.5,65,6.5,10.3333333333333,14,5,4,NA,107.5,4,56.125,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.868882189864,28.1419084261555
"12",1986,136.4,37.6666666666667,11,71.5,37.5,6.5,135,180.666666666667,NA,311.5,3,88,88.5,43.75,603.5,407,3,21.5,45.5,4,6.16666666666667,8,3,1,NA,136.5,5,318.625,NA,NA,NA,3,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.1371609106189,27.582299365547
"13",1987,111.2,9,21,31,49,14,399.5,153,NA,18,159,120,98.5,51,785.5,130,1,2,22,NA,18,4,NA,NA,NA,88,13,40.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.1114813567328,27.0114588557878
"14",1988,159.272727272727,46,19.5,70,23.5,4,283.5,233.666666666667,1,178,29,52.5,45.4,76,374.4,466.5,1,26.5,57,6,9.8,15,5,NA,1,92.5,11,67.875,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.6796275187726,26.4038656716548
"15",1989,132.727272727273,21,15,72.5,78,1.5,241,146,1,768,111,85.5,24,43.3333333333333,568.5,427.5,2.66666666666667,24.5,31,1,11,11.5,3,NA,NA,79,27,56,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.9306790995861,25.7741878730816
"16",1990,141.3,23.3333333333333,74,88.5,41,1,461.666666666667,213.666666666667,8,642,10,2,43.6,73.5,430.75,463.5,4,28.5,47,11,7.83333333333333,12,2,NA,NA,62.5,43.5,32.125,NA,NA,NA,2,5,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.9537158020211,25.1370935200018
